"departement","commune","unit.type","location","latitude","longitude","start.date","sheep.measuring.units","sheep.susceptible","sheep.cases","sheep.deaths","sheep.destroyed","sheep.slaughtered","cattle.measuring.units","cattle.susceptible","cattle.cases","cattle.deaths","cattle.destroyed","cattle.slaughtered","goat.measuring.units","goat.susceptible","goat.cases","goat.deaths","goat.destroyed","goat.slaughtered","remark"
"AUBE","Salon","Farm","Salon","48.633333","4","20/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VIENNE","LATHUS-SAINT-REMY","Farm","LATHUS-SAINT-REMY","46.383333","0.883333","20/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"HAUTE-MARNE","Prangey","Farm","Prangey","47.733333","5.266667","20/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"CHARENTE","Nieuil","Farm","Nieuil","45.883333","0.5","20/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"EURE","Beuzeville","Farm","Beuzeville","49.333333","0.35","20/01/2012",NA,NA,NA,NA,NA,NA,"Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"CHARENTE","Oradour-Fanais","Farm","Oradour-Fanais","46.116667","0.783333","20/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"SOMME","Nibas","Farm","Nibas","50.1","1.583333","20/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"INDRE-ET-LOIRE","Nouans-les-Fontaines","Farm","Nouans-les-Fontaines","47.133333","1.3","20/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"MARNE","MERLAUT","Farm","MERLAUT","48.766667","4.666667","20/01/2012",NA,NA,NA,NA,NA,NA,"Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"MEURTHE-ET-MOSELLE","Sexey-aux-Forges","Farm","Sexey-aux-Forges","48.616667","6.05","20/01/2012","Animals",250,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lambs"
"HAUTE-VIENNE","Tersannes","Farm","Tersannes","46.3","1.116667","20/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"HAUTE-VIENNE","Veyrac","Farm","Veyrac","45.9","1.116667","20/01/2012",NA,NA,NA,NA,NA,NA,"Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"CHARENTE","ANSAC-SUR-VIENNE","Farm","ANSAC-SUR-VIENNE","46","0.65","20/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VIENNE","MOULISMES","Farm","MOULISMES","46.333333","0.816667","21/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"SOMME","Brutelles","Farm","Brutelles","50.133333","1.516667","21/01/2012","Animals",5,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lambs"
"HAUTE-MARNE","RENNEPONT","Farm","RENNEPONT","48.15","4.85","21/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"INDRE","LUANT","Farm","LUANT","46.733333","1.55","21/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"SOMME","Woincourt","Farm","Woincourt","50.066667","1.533333","21/01/2012","Animals",70,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lambs"
"MOSELLE","Puttelange-lès-Thionville","Farm","Puttelange-lès-Thionville","49.483333","6.266667","21/01/2012","Animals",45,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lambs"
"SEINE-MARITIME","Touffreville-sur-Eu","Farm","Touffreville-sur-Eu","50","1.316667","21/01/2012","Animals",70,6,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lambs"
"MEURTHE-ET-MOSELLE","MARAINVILLER","Farm","MARAINVILLER","48.583333","6.6","21/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VIENNE","COULONGES","Farm","COULONGES","46.42108","1.12298","21/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"SOMME","Mons-Boubert","Farm","Mons-Boubert","50.133333","1.666667","21/01/2012","Animals",400,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lambs"
"HAUTE-MARNE","Rennepont","Farm","Rennepont","48.15","4.85","23/01/2012","Animals",500,15,15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lambs"
"SOMME","Dompierre-sur-Authie","Farm","Dompierre-sur-Authie","50.3","1.916667","23/01/2012","Animals",84,12,12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lambs"
"SEINE-MARITIME","Martigny","Farm","Martigny","49.866667","1.15","23/01/2012","Animals",1300,7,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lambs"
"SOMME","Long","Farm","Long","50.033333","1.983333","23/01/2012","Animals",700,25,25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lambs"
"MOSELLE","REMILLY","Farm","REMILLY","49.016667","6.4","23/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"OISE","Cannectancourt","Farm","Cannectancourt","49.55","2.9","23/01/2012","Animals",5,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lambs"
"SOMME","Longpré-les-Corps-Saints","Farm","Longpré-les-Corps-Saints","50.016667","1.983333","23/01/2012","Animals",800,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lambs"
"HAUTE-MARNE","Nully","Farm","Nully","48.383333","4.916667","23/01/2012","Animals",1020,6,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lambs"
"CALVADOS","Moulines","Farm","Moulines","49.016667","-0.35","23/01/2012","Animals",52,20,20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lambs"
"HAUTE-MARNE","Coiffy-le-Haut","Farm","Coiffy-le-Haut","47.9","5.7","24/01/2012","Animals",1360,6,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lambs"
"MOSELLE","Dédeling","Farm","Dédeling","48.85","6.616667","24/01/2012","Animals",250,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lamb"
"MEUSE","Lavallée","Farm","Lavallée","48.816667","5.333333","24/01/2012","Animals",850,6,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lambs"
"PAS-DE-CALAIS","Villers-Brûlin","Farm","Villers-Brûlin","50.366667","2.533333","24/01/2012","Animals",300,6,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lambs"
"HAUTE-MARNE","Montheries","Farm","Montheries","48.166667","4.916667","24/01/2012","Animals",280,5,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lambs"
"MEURTHE-ET-MOSELLE","Thorey-Lyautey","Farm","Thorey-Lyautey","48.45","6.033333","24/01/2012","Animals",70,4,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lambs"
"SOMME","Ailly-le-Haut-Clocher","Farm","Ailly-le-Haut-Clocher","50.083333","2","24/01/2012","Animals",300,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lambs"
"MEURTHE-ET-MOSELLE","Réchicourt-la-Petite","Farm","Réchicourt-la-Petite","48.716667","6.566667","25/01/2012","Animals",450,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lamb"
"MOSELLE","Landange","Farm","Landange","48.666667","6.966667","25/01/2012","Animals",1100,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lamb"
"HAUTE-MARNE","Coiffy-le-Haut","Farm","Coiffy-le-Haut","47.9","5.7","25/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"MEURTHE-ET-MOSELLE","Maizières","Farm","Maizières","48.583333","6.066667","25/01/2012","Animals",250,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lambs"
"AISNE","Montloué","Farm","Montloué","49.666667","4.066667","25/01/2012","Animals",600,20,20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lambs"
"CALVADOS","Vieux","Farm","Vieux","49.1","-0.433333","25/01/2012","Animals",20,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lambs"
"OISE","Méry-la-Bataille","Farm","Méry-la-Bataille","49.55","2.633333","26/01/2012","Animals",145,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lambs"
"PAS-DE-CALAIS","Incourt","Farm","Incourt","50.383333","2.15","26/01/2012","Animals",6,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lambs"
"VOSGES","Ménil-en-Xaintois","Farm","Ménil-en-Xaintois","48.316667","5.966667","26/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"AISNE","Aizy Jouy","Farm","Aizy Jouy","49.416667","3.516667","26/01/2012","Animals",145,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lamb"
"PAS-DE-CALAIS","INCOURT","Farm","INCOURT","50.383333","2.15","26/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VOSGES","Sandaucourt","Farm","Sandaucourt","48.266667","5.85","26/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VIENNE","COULONGES","Farm","COULONGES","46.42108","1.12298","30/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"HAUTE-VIENNE","Oradour-Saint-Genest","Farm","Oradour-Saint-Genest","46.233333","1.033333","30/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"SEINE-MARITIME","Hermanville","Farm","Hermanville","49.816667","0.983333","30/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"SOMME","Vironchaux","Farm","Vironchaux","50.283333","1.816667","30/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"MOSELLE","Beux","Farm","Beux","49","6.316667","30/01/2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animals",NA,NA,NA,NA,NA,"Affected Population"
"AUBE","Pel-et-Der","Farm","Pel-et-Der","48.4","4.416667","30/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VOSGES","Grand","Farm","Grand","48.383333","5.483333","30/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"SEINE-MARITIME","Envronville","Farm","Envronville","49.666667","0.666667","30/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"AISNE","Fontaine-lès-Vervins","Farm","Fontaine-lès-Vervins","49.85","3.9","30/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"PAS-DE-CALAIS","Villers-Brûlin","Farm","Villers-Brûlin","50.366667","2.533333","30/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VIENNE","Persac","Farm","Persac","46.35","0.7","30/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"AISNE","Origny-en-Thiérache","Farm","Origny-en-Thiérache","49.9","4.016667","30/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"MOSELLE","Saint-Georges","Farm","Saint-Georges","48.666667","6.933333","30/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"AISNE","Étréaupont","Farm","Étréaupont","49.9","3.916667","30/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"AISNE","Wimy","Farm","Wimy","49.933333","4","30/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"SEINE-MARITIME","Saint-Pierre-le-Vieux","Farm","Saint-Pierre-le-Vieux","49.85","0.866667","30/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"AUBE","Radonvilliers","Farm","Radonvilliers","48.366667","4.516667","30/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"SEINE-MARITIME","Bacqueville-en-Caux","Farm","Bacqueville-en-Caux","49.783333","1","30/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VOSGES","Lamarche","Farm","Lamarche","48.066667","5.783333","30/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"SEINE-MARITIME","Douvrend","Farm","Douvrend","49.866667","1.316667","31/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"SEINE-MARITIME","Sainte-Hélène-Bondeville","Farm","Sainte-Hélène-Bondeville","49.766667","0.466667","31/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"MEUSE","Sorcy-Saint-Martin","Farm","Sorcy-Saint-Martin","48.716667","5.633333","31/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"MEURTHE-ET-MOSELLE","Hénaménil","Farm","Hénaménil","48.666667","6.566667","31/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"SOMME","Framicourt","Farm","Framicourt","49.95","1.683333","31/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"PAS-DE-CALAIS","Incourt","Farm","Incourt","50.383333","2.15","31/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"AISNE","Wiège-Faty","Farm","Wiège-Faty","49.883333","3.733333","31/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"MEURTHE-ET-MOSELLE","Faulx","Farm","Faulx","48.8","6.2","31/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"HAUTE-MARNE","Vaux-sur-Blaise","Farm","Vaux-sur-Blaise","48.466667","4.966667","31/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"SEINE-MARITIME","Saint-Eustache-la-Forêt","Farm","Saint-Eustache-la-Forêt","49.55","0.466667","31/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VOSGES","Florémont","Farm","Florémont","48.366667","6.25","31/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VOSGES","Repel","Farm","Repel","48.35","5.975","31/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"MOSELLE","Conthil","Farm","Conthil","48.9","6.65","31/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"MEURTHE-ET-MOSELLE","Agincourt","Farm","Agincourt","48.733333","6.233333","31/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VIENNE","LATHUS-SAINT-REMY","Farm","LATHUS-SAINT-REMY","46.383333","0.883333","31/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"SOMME","Beauquesne","Farm","Beauquesne","50.083333","2.4","31/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VOSGES","Frenelle-la-Grande","Farm","Frenelle-la-Grande","48.35","6.083333","31/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VOSGES","Ménil-sur-Belvitte","Farm","Ménil-sur-Belvitte","48.383333","6.7","31/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"SEINE-MARITIME","Saint-Pierre-le-Viger","Farm","Saint-Pierre-le-Viger","49.816667","0.85","31/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VOSGES","Ollainville","Farm","Ollainville","48.266667","5.8","31/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"INDRE","SAINT-CHRISTOPHE-EN-BAZELLE","Farm","SAINT-CHRISTOPHE-EN-BAZELLE","47.183333","1.716667","31/01/2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animals",NA,NA,NA,NA,NA,"Affected Population"
"VOSGES","Esley","Farm","Esley","48.166667","6.066667","31/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"SEINE-MARITIME","Saint-Jean-de-la-Neuville","Farm","Saint-Jean-de-la-Neuville","49.583333","0.416667","31/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"SOMME","Saint-Valéry-sur-Somme","Farm","Saint-Valéry-sur-Somme","50.183333","1.633333","31/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"MEURTHE-ET-MOSELLE","Frémonville","Farm","Frémonville","48.6","6.883333","31/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"CREUSE","Saint-Maurice-la-Souterraine","Farm","Saint-Maurice-la-Souterraine","46.216667","1.433333","31/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"HAUTE-VIENNE","DARNAC","Farm","DARNAC","46.216667","0.966667","01/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"CALVADOS","MANNEVILLE-LA-PIPARD","Farm","MANNEVILLE-LA-PIPARD","49.266667","0.216667","01/02/2012",NA,NA,NA,NA,NA,NA,"Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"NORD","Ghyvelde","Farm","Ghyvelde","51.05","2.533333","01/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"HAUTE-MARNE","Cuves","Farm","Cuves","48.1","5.433333","01/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"HAUTE-MARNE","FAYL-BILLOT","Farm","FAYL-BILLOT","47.75","5.666667","01/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"HAUTE-MARNE","Blessonville","Farm","Blessonville","48.066667","5","01/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VIENNE","MOULISMES","Farm","MOULISMES","46.333333","0.816667","01/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"AISNE","Origny-en-Thiérache","Farm","Origny-en-Thiérache","49.9","4.016667","01/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"SEINE-MARITIME","Imbleville","Farm","Imbleville","49.716667","0.95","01/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"HAUTE-MARNE","Outremécourt","Farm","Outremécourt","48.216667","5.683333","01/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VIENNE","LA TRIMOUILLE","Farm","La Trimouille","46.466667","1.05","01/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"NORD","Sémeries","Farm","Sémeries","50.116667","4","01/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VIENNE","LATHUS-SAINT-REMY","Farm","LATHUS-SAINT-REMY","46.383333","0.883333","01/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"HAUTE-SAÔNE","Hurecourt","Farm","Hurecourt","47.9","6.066667","01/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"DEUX-SÈVRES","La Chapelle-Bertrand","Farm","La Chapelle-Bertrand","46.616667","-0.183333","01/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VOSGES","Clézentaine","Farm","Clézentaine","48.416667","6.533333","02/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"MEURTHE-ET-MOSELLE","Colombey-les-Belles","Farm","Colombey-les-Belles","48.533333","5.9","02/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"HAUTE-MARNE","Champigny-sous-Varennes","Farm","Champigny-sous-Varennes","47.866667","5.65","02/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"NORD","Linselles","Farm","Linselles","50.733333","3.083333","02/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"SEINE-MARITIME","Saint-Vaast-d'Équiqueville","Farm","Saint-Vaast-d'Équiqueville","49.816667","1.266667","02/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"NORD","Tourmignies","Farm","Tourmignies","50.5","3.083333","02/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"MOSELLE","Saint-Georges","Farm","Saint-Georges","48.666667","6.933333","02/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"NORD","Nomain","Farm","Nomain","50.5","3.25","02/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"NORD","Honnechy","Farm","Honnechy","50.066667","3.45","02/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"HAUTE-MARNE","Is-en-Bassigny","Farm","Is-en-Bassigny","48.033333","5.45","02/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VIENNE","La Trimouille","Farm","La Trimouille","46.466667","1.05","02/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"MOSELLE","Guébling","Farm","Guébling","48.866667","6.733333","02/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"AISNE","Saint-Pierremont","Farm","Saint-Pierremont","49.716667","3.883333","02/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
